category,task,rule,n_rows,n_contexts,n_products,products,n_ingredients,ingredients,temp_min,temp_max,y_min,y_max,y_mean,y_std,n_indicators
hard,general_shelf_life,V7|HARD_SEMI_REVIEW|SHRED_NAT|PLANT_REVIEW,97,45,1,cheddar,6,clove essential oil; grape seed extract; green tea extract ...,2.0,12.0,23.18,62.99,42.536391752577316,7.593958561685594,6
soft,safety_endpoint,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,1579,484,16,brie; burrata; camembert; cottage cheese ...,7,caprylic acid; chitosan; lactic acid ...,4.0,12.0,2.52,60.0,27.24291323622546,17.063150253613337,1
soft,safety_endpoint,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|FETA_OREGANO,112,28,1,feta,9,caprylic acid; chitosan; lactic acid ...,4.0,12.0,14.49,58.57,34.81071428571429,13.759192813264406,1
soft,safety_endpoint,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,357,314,16,brie; burrata; camembert; cottage cheese ...,2,oregano essential oil; thyme essential oil,4.0,12.0,3.15,60.0,27.285798319327732,16.647009727217892,1
soft,safety_endpoint,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|QF_MARKET,96,24,1,queso fresco,9,caprylic acid; chitosan; lactic acid ...,4.0,12.0,3.71,25.57,10.504375000000001,4.778774520842413,1
soft,safety_endpoint,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|RICOTTA_NISIN,116,29,1,ricotta,9,caprylic acid; chitosan; lactic acid ...,4.0,12.0,2.85,38.05,10.437068965517238,6.45054645709977,1
soft,safety_endpoint,V7|FETA_OREGANO|RISK_REVIEW|PH_CHEESE,58,21,1,feta,5,acetic acid; caprylic acid; chitosan ...,4.0,12.0,21.23,59.65,41.10293103448275,11.204498941116292,1
soft,safety_endpoint,V7|FETA_OREGANO|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,26,17,1,feta,3,clove essential oil; oregano essential oil; thyme essential oil,4.0,12.0,21.23,59.65,39.77192307692307,12.565489252466302,1
soft,safety_endpoint,V7|RISK_REVIEW|PH_CHEESE,1120,401,19,brie; burrata; camembert; cottage cheese ...,5,acetic acid; caprylic acid; chitosan ...,4.0,12.0,3.37,59.9,36.4306875,14.082460731059944,2
soft,safety_endpoint,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,484,341,19,brie; burrata; camembert; cottage cheese ...,3,clove essential oil; oregano essential oil; thyme essential oil,4.0,12.0,4.12,59.9,37.440847107438024,14.005427338467657,2
soft,safety_endpoint,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,539,213,19,brie; burrata; camembert; cottage cheese ...,4,lactic acid; nisin; none ...,4.0,12.0,5.56,59.93,36.45679035250463,13.820859157717122,1
soft,safety_endpoint,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE|PLANT_REVIEW,313,205,19,brie; burrata; camembert; cottage cheese ...,3,clove essential oil; oregano essential oil; thyme essential oil,4.0,12.0,7.38,59.93,36.58115015974441,13.567158450334482,1
semi_hard,safety_endpoint,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,1297,407,11,colby; edam; gouda; halloumi ...,7,caprylic acid; chitosan; lactic acid ...,4.0,15.0,2.82,89.99,56.762606013878184,21.02415722888632,1
semi_hard,safety_endpoint,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,331,286,11,colby; edam; gouda; halloumi ...,2,oregano essential oil; thyme essential oil,4.0,15.0,4.36,89.68,55.58664652567976,20.84853304756196,1
semi_hard,safety_endpoint,V7|KASHAR_EO|RISK_REVIEW|PH_CHEESE,54,19,1,kashar,5,acetic acid; caprylic acid; chitosan ...,4.0,15.0,38.76,89.08,62.12611111111111,17.02298484088739,1
semi_hard,safety_endpoint,V7|KASHAR_EO|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,22,16,1,kashar,3,clove essential oil; oregano essential oil; thyme essential oil,4.0,15.0,38.76,87.47,65.07227272727272,16.349333445512514,1
semi_hard,safety_endpoint,V7|RISK_REVIEW|PH_CHEESE,1046,382,11,colby; edam; gouda; halloumi ...,5,acetic acid; caprylic acid; chitosan ...,4.0,15.0,30.0,95.86,60.08602294455067,17.531475269492635,2
semi_hard,safety_endpoint,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,482,340,11,colby; edam; gouda; halloumi ...,3,clove essential oil; oregano essential oil; thyme essential oil,4.0,15.0,30.0,95.86,61.42939834024896,16.942236787719047,2
semi_hard,safety_endpoint,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,498,192,11,colby; edam; gouda; halloumi ...,4,lactic acid; nisin; none ...,4.0,15.0,3.76,99.14,61.19977911646587,21.401311129455696,1
semi_hard,safety_endpoint,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE|PLANT_REVIEW,270,180,11,colby; edam; gouda; halloumi ...,3,clove essential oil; oregano essential oil; thyme essential oil,4.0,15.0,5.06,99.14,60.72659259259261,20.664186344212695,1
hard,safety_endpoint,V7|CHEDDAR_ECOLI|RISK_REVIEW|PH_CHEESE,80,28,1,cheddar,5,acetic acid; caprylic acid; chitosan ...,4.0,15.0,45.2,119.97,82.94475,20.94193400659807,1
hard,safety_endpoint,V7|CHEDDAR_ECOLI|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,32,24,1,cheddar,3,clove essential oil; oregano essential oil; thyme essential oil,4.0,15.0,45.2,119.97,86.190625,18.952045414762644,1
hard,safety_endpoint,V7|CHEDDAR_SALMONELLA|RISK_REVIEW|PH_CHEESE,102,37,1,cheddar,5,acetic acid; caprylic acid; chitosan ...,4.0,15.0,45.57,119.92,89.26392156862741,21.392420798903334,1
hard,safety_endpoint,V7|CHEDDAR_SALMONELLA|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,46,29,1,cheddar,3,clove essential oil; oregano essential oil; thyme essential oil,4.0,15.0,52.05,119.92,88.72173913043478,20.772758796542256,1
hard,safety_endpoint,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,957,296,6,cheddar; emmental; gruyère; manchego ...,7,caprylic acid; chitosan; lactic acid ...,4.0,15.0,45.11,119.95,82.30694879832811,20.94177701061776,1
hard,safety_endpoint,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,227,190,6,cheddar; emmental; gruyère; manchego ...,2,oregano essential oil; thyme essential oil,4.0,15.0,45.11,119.95,83.22541850220266,21.926600791728596,1
hard,safety_endpoint,V7|RISK_REVIEW|PH_CHEESE,890,324,5,emmental; gruyère; manchego; parmigiano reggiano ...,5,acetic acid; caprylic acid; chitosan ...,4.0,15.0,45.23,119.9,81.66431460674156,20.219668125701514,2
hard,safety_endpoint,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,406,282,5,emmental; gruyère; manchego; parmigiano reggiano ...,3,clove essential oil; oregano essential oil; thyme essential oil,4.0,15.0,45.26,119.9,81.67349753694582,20.16780339823528,2
hard,safety_endpoint,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,300,115,6,cheddar; emmental; gruyère; manchego ...,4,lactic acid; nisin; none ...,4.0,15.0,46.31,118.75,83.0203,22.118114934842506,1
hard,safety_endpoint,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE|PLANT_REVIEW,160,108,6,cheddar; emmental; gruyère; manchego ...,3,clove essential oil; oregano essential oil; thyme essential oil,4.0,15.0,46.31,117.58,82.19818749999999,21.7290100227414,1
